stage,dut,variable,entries,mean,std,landau_mpv,landau_mpv_err,landau_sigma,landau_sigma_err,gauss_sigma,gauss_sigma_err,landau_chi2_ndf,collected_charge,collected_charge_err
Before pmax cut,DUT1,pmax_fit,7250,9.990582913004118,22.913167629097345,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,tmax_fit,7250,0.0327984649923887,11.08018843752649,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,area_new,7239,6.473117486960617,19.60852979093032,1.4848612083056838,0.010650976657843175,0.44000960218892243,0.009238444211037282,0.20566893358995694,0.04792686088573551,2.8893646678753098,0.3159279166607838,0.002266165246349612
Before pmax cut,DUT2,pmax_fit,7250,8.641879740895288,18.524593667968205,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,tmax_fit,7250,0.02884926629422939,11.233713910424761,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,area_new,7242,5.96725954671458,16.533748708273457,1.681872038640717,0.020905251262593967,0.6746065100513223,0.013422163941751393,0.03995514588654035,0.6841696308717389,2.3779409435150347,0.3578451146044079,0.004447925800551908
Before pmax cut,DUT3,pmax_fit,7250,8.9449533723305,19.98901572198385,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,tmax_fit,7250,-0.2695415252521393,11.204778512567513,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,area_new,7241,6.2904401464927195,18.187635468728786,1.9469549284488696,0.01255076022323621,0.593110516860658,0.010392679800939135,0.16777297823422518,0.0727191594295406,1.5528243471290408,0.4142457294572063,0.002670374515582172
Before pmax cut,DUT4,pmax_fit,7250,8.379443852243753,18.47016899644238,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,tmax_fit,7250,-0.30733868401977316,11.284975318686897,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,area_new,7245,5.191759772754028,16.33232129968829,1.5462420182489993,0.012159741247756253,0.5483309767205138,0.010150248127773768,0.03234192253500436,0.40022755482003863,2.0246569085571666,0.3289876634572339,0.002587178988884309
After pmax cut,DUT1,pmax_fit,544,68.83493395062054,56.88208797224756,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,tmax_fit,544,0.119448066354166,0.4558998908391182,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,area_new,544,58.98570627500029,45.91317896794377,41.36901355372347,0.48667271806100826,6.364519020758917,0.4451632916739241,0.30980782289546355,12.124632525622754,0.9294655962455278,8.801917777387972,0.10354738682149112
After pmax cut,DUT2,pmax_fit,378,70.30316181788369,50.458197774421365,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,tmax_fit,378,0.03519926750330284,0.23473324772244103,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,area_new,378,60.29847868409737,43.095163130491095,39.921230061301756,0.551029621828445,5.761566390306703,0.558261819465614,0.4449334016021854,10.217322320524511,1.5418907209902035,8.493878736447181,0.1172403450698819
After pmax cut,DUT3,pmax_fit,411,71.20980916638153,54.01743096015753,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,tmax_fit,411,0.2768290854600732,0.23025687739092063,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,area_new,411,64.14556160808479,47.1848807312234,42.38149048679549,0.9207650206715728,7.283364841663398,0.7813654487752547,2.3818433765731357,6.175412031967396,1.287002816359125,9.01733840144585,0.19590745120671763
After pmax cut,DUT4,pmax_fit,308,78.22711491275143,53.63363040598379,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,tmax_fit,308,0.2836488532227488,0.3304604651453478,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,area_new,308,67.67846950308069,45.97345748665856,49.30015094644351,0.7975952592648863,7.5994192000333785,0.8557983079783117,0.38811761293414393,27.03605582303064,0.8447916459723486,10.489393818392236,0.169701118992529
