DUT,pmax_cut_low,pmax_cut_high,before_entries,after_entries
DUT1,30.0,0.0,7250,544
DUT2,30.0,0.0,7250,378
DUT3,30.0,0.0,7250,411
DUT4,40.0,0.0,7250,308
