DUT,sigma_ps,sigma_err_ps,variance_ps2,variance_err_ps2
DUT1,34.178591194993885,1.6285316960047178,1168.1760960745135,110.95330869915927
DUT2,39.25791161594481,1.5570221576232601,1541.1836244453348,122.12897076607653
DUT3,43.256456485158296,1.2527240124718644,1871.1210276523934,108.15056170152452
DUT4,40.970296930130175,1.6666585598867847,1678.5652305430337,136.58924394257392
