pair,entries,mean_ps,rms_ps,fit_mu_ps,fit_sigma_ps,fit_sigma_err_ps,chi2_ndf
21,1048,-71.53105860569814,45.571242504903125,-71.78005521807532,37.24123747755308,0.8896275280119048,1.5906684080306652
31,1674,126.39506084548493,47.50017478735138,126.44671068875019,41.136363755164254,0.806140102858291,1.7155653626620986
41,499,181.4088341082448,52.89820841380107,180.74877524522563,38.404496247861054,1.36293252924661,0.8306985859787834
32,2382,196.7724230733814,46.665631652978284,196.7805992381898,41.08188187840987,0.6635173144929672,1.5759163191856191
42,553,251.19675888676133,50.695181012319715,251.93353587868293,41.70610811594569,1.5731359623750956,1.459850903271695
43,761,54.801480647276854,51.42626067991409,54.34917446441741,40.09457151421449,1.2424195853995987,1.0229285357831006
