stage,dut,variable,entries,mean,std,landau_mpv,landau_mpv_err,landau_sigma,landau_sigma_err,gauss_sigma,gauss_sigma_err,landau_chi2_ndf,collected_charge,collected_charge_err
Before pmax cut,DUT1,pmax_fit,60000,18.135709588724747,52.055833486145154,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,tmax_fit,60000,-0.06809728578581817,11.064020353872126,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,area_new,59932,13.03368325997464,51.41799161210521,1.4896918111775193,0.003601866312023833,0.4565384408212535,0.0031506039387201343,0.14150249080108646,0.02250091717589233,17.724546731691767,0.31695570450585514,0.000766354534473156
Before pmax cut,DUT2,pmax_fit,59999,14.303176978929502,44.099976887902855,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,tmax_fit,60000,0.06620149570243024,11.213506585415027,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,area_new,59939,10.2647891148893,41.00175427192866,1.6707105911467701,0.006723552363110888,0.6736394708285286,0.004658897298091514,0.05030608933924389,0.18209322384777907,15.144236256845087,0.355470338541866,0.00143054305598104
Before pmax cut,DUT3,pmax_fit,60000,15.215034188209877,46.37794449833673,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,tmax_fit,60000,-0.04577629815146241,11.173779816886027,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,area_new,59918,11.984368853534063,59.065647010234656,1.944512292572586,0.004434958048984076,0.6003971517430532,0.0037051155435145933,0.1849648575673506,0.025290621668471916,5.789085248894559,0.41372601969629486,0.0009436080955285267
Before pmax cut,DUT4,pmax_fit,59999,15.298379993078843,50.42388438190218,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,tmax_fit,60000,-0.05208315229182214,11.251800061694823,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,area_new,59933,11.585883266152036,60.516426139407216,1.5466881341252263,0.004537658857007653,0.5649949226567118,0.0037145676514287345,0.03244327472269549,0.15643305289165182,11.080377849684703,0.32908258172877153,0.000965459331278224
After pmax cut,DUT1,pmax_fit,4392,181.51144341779755,90.3677722294325,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,tmax_fit,4392,0.05781912664738585,0.23653571759633157,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,area_new,4392,149.70221806701633,125.98834045111961,111.04178840969013,0.31999023948037236,10.760442823345212,0.27403212320741427,6.009717522981924,0.783807545569154,4.189607063952619,23.625912427593644,0.06808302967667497
After pmax cut,DUT2,pmax_fit,3083,180.48995278278343,92.95486732083835,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,tmax_fit,3083,-0.025473577809125413,0.2381459220247896,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,area_new,3083,145.2608071573748,114.93678196323239,106.32156553420296,0.39277986386750036,10.505329819144324,0.34232428092830763,6.885538946245091,1.043905571746485,3.243502191797783,22.621609688128288,0.08357018380159582
After pmax cut,DUT3,pmax_fit,3396,181.20702065062326,92.80013882193221,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,tmax_fit,3396,0.22449772483456493,0.24391283533571964,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,area_new,3396,162.4348989319324,154.09518746284044,116.70038581022456,0.4002834279204056,11.40464822190262,0.34542520265055016,7.124105982773819,1.0740296540358807,3.5896889528511347,24.829869321324374,0.08516668679157566
After pmax cut,DUT4,pmax_fit,2741,224.14007297809522,98.97750834135704,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,tmax_fit,2741,0.259827458799744,0.23861574100611332,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,area_new,2741,202.5403728881747,204.2985873324791,145.4197182850188,0.5725602414050678,17.47706909839449,0.5225469456489701,1.0007549743652422,13.48879732849099,2.892982524059943,30.940365592557193,0.12182132795852506
