pair,entries,mean_ps,rms_ps,fit_mu_ps,fit_sigma_ps,fit_sigma_err_ps,chi2_ndf
21,1041,-70.10773360770818,63.576645244927384,-67.94200246632334,56.66537419499165,1.3532880242115723,1.0867397974937136
31,1647,130.33168176495124,67.07169286946136,130.46662438220844,62.906311115401685,1.1466509968783467,0.8674978914210477
41,490,180.74560772570572,64.11520716932078,177.49693580665652,55.293660301657695,2.0555687501098676,0.9444426451539886
32,2340,200.14317587726205,65.67381756112299,200.3801160475085,61.28895929974127,0.9625507699521061,1.3482983770660955
42,547,247.32414503973206,61.20255854016194,244.4883040726218,55.62745638795941,2.0341345174536687,0.8160495923210678
43,784,47.8282281968562,88.24116062555618,49.234662466199616,59.749356406840384,1.8091988100007557,1.4914265103922624
