stage,dut,variable,entries,mean,std,landau_mpv,landau_mpv_err,landau_sigma,landau_sigma_err,gauss_sigma,gauss_sigma_err,landau_chi2_ndf,collected_charge,collected_charge_err
Before pmax cut,DUT1,pmax_fit,59999,10.718157534746265,26.112756504016133,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,tmax_fit,60000,0.005917540352543195,11.08771084720454,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,area_new,59954,7.108010688891459,27.208969684652356,1.495521032594853,0.003534917102791131,0.45960671025915256,0.0031127139073835832,0.11073609782082736,0.027419338089596106,18.31796533089432,0.3181959643818836,0.0007521100218704533
Before pmax cut,DUT2,pmax_fit,60000,9.047428639276916,22.331845625777213,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,tmax_fit,60000,-0.04518534040567501,11.220786496374727,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,area_new,59944,6.232167643265678,21.24094118903652,1.694185422962001,0.006742399785626873,0.6814048974740404,0.004681123693672121,0.04392735358212761,0.20935609378360423,13.938944356649174,0.36046498360893636,0.001434553145878058
Before pmax cut,DUT3,pmax_fit,59999,9.309666997761637,22.947016846407863,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,tmax_fit,60000,-0.02378262973789448,11.228790565051325,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,area_new,59902,6.578433409375145,24.972822797605264,1.9483757153133818,0.004421534791439152,0.5895646144010377,0.0037058781150860107,0.2129703200618537,0.0217994435647954,5.740418355389143,0.4145480245347621,0.0009407520832849258
Before pmax cut,DUT4,pmax_fit,60000,9.368885819636782,24.373976954806366,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,tmax_fit,60000,0.026995182222113362,11.224364275648071,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,area_new,59950,6.16076831534188,27.71691631096923,1.5704823155425693,0.004430545989574521,0.5688551160219791,0.0037239923178660917,0.03886741338819288,0.12763405819399,11.388997748579069,0.3341451735196956,0.0009426693594839407
After pmax cut,DUT1,pmax_fit,4401,80.56633896622921,63.359991118611745,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,tmax_fit,4401,0.08541786382721887,0.23121698633488935,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,area_new,4401,69.15432729939931,76.85601037382071,46.92056630882537,0.20434357565844657,7.90096047676879,0.18654368688511822,0.38388215541851306,5.8585078073141,2.9036509396513908,9.983099214643696,0.04347735652307374
After pmax cut,DUT2,pmax_fit,3017,80.75722789100594,66.91166026110331,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,tmax_fit,3017,0.007721547717774819,0.23963211519223568,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,area_new,3017,68.3243183923708,68.199032876639,45.79478594687795,0.2457497688528726,7.861815738712065,0.22258309666609596,1.1542716705864358,2.3358615977446293,2.418012136435983,9.743571478059138,0.05228718486231332
After pmax cut,DUT3,pmax_fit,3350,78.92972405732567,65.38953034125238,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,tmax_fit,3350,0.2561738363317728,0.251917196947739,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,area_new,3350,71.04004113951726,81.85644436108828,47.83447942944746,0.234203816411268,7.977480093782555,0.21748305685274905,0.38811782827563623,6.85408657257752,2.411987305252025,10.177548814776056,0.049830599236439996
After pmax cut,DUT4,pmax_fit,2795,94.4749988030449,71.56549704226579,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,tmax_fit,2795,0.2842622661917081,0.2471173941025126,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,area_new,2795,82.88670237887524,101.20585984390641,55.757177810415946,0.28196453038538793,8.666116212020576,0.2500421207004177,0.4510246217727694,7.706786441231824,2.2403492361451876,11.863229321365095,0.05999245327348679
