DUT,pmax_cut_low,pmax_cut_high,before_entries,after_entries
DUT1,80.0,0.0,60000,4342
DUT2,90.0,0.0,60000,3020
DUT3,100.0,0.0,60000,3320
DUT4,120.0,0.0,60000,2812
