stage,dut,variable,entries,mean,std,landau_mpv,landau_mpv_err,landau_sigma,landau_sigma_err,gauss_sigma,gauss_sigma_err,landau_chi2_ndf,collected_charge,collected_charge_err
Before pmax cut,DUT1,pmax_fit,59999,19.1081170961805,55.078352339450454,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,tmax_fit,60000,-0.021898456480562406,11.102358021774291,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,area_new,59953,14.241466379986703,55.71016250514869,1.4932342580954239,0.003527556740708311,0.45656577031282136,0.0031087920694340887,0.11799031917632403,0.02606526042342961,17.79944766981511,0.3177094166160476,0.000750543987384747
Before pmax cut,DUT2,pmax_fit,59999,14.960877508814368,47.24763938879901,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,tmax_fit,60000,-0.08451276492170727,11.181018055811546,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,area_new,59930,11.075641668053217,48.98763555502333,1.703499749017627,0.005905136397231652,0.6744204648697165,0.004603730141304354,0.02974155622317765,0.2695831918444311,12.908572722198402,0.36244675511013336,0.0012564119994109898
Before pmax cut,DUT3,pmax_fit,60000,15.858864265703822,48.910459507742814,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,tmax_fit,60000,-0.05004697543810016,11.198738043233957,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,area_new,59908,12.76397938361073,54.23089496670429,1.9394027589317329,0.004405200801350612,0.5944133501831136,0.0036691563054605052,0.18505341503063666,0.024689385882540757,5.265034171740295,0.41263888487909206,0.0009372767662448111
Before pmax cut,DUT4,pmax_fit,60000,16.62905970412418,55.6230713157816,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,tmax_fit,60000,-0.09321507600256154,11.276044215368977,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,area_new,59941,17.95760954076194,98.02573778333189,1.5648802808080922,0.004399776039743864,0.5672892194951599,0.0037267236248896825,0.042050530808418994,0.11766922678268352,12.095959990376803,0.3329532512357643,0.0009361225616476306
After pmax cut,DUT1,pmax_fit,4342,196.47118789026234,89.15471899325459,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,tmax_fit,4342,0.05626544398381459,0.23461134882062745,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,area_new,4342,168.17173637019386,131.4042480700656,125.20202221627247,0.3662026458770566,12.72349644217499,0.3242911922048937,6.379989650345384,0.9998741282390541,4.100909604507372,26.638728131121802,0.07791545656958651
After pmax cut,DUT2,pmax_fit,3020,196.62581380629382,97.5032071204658,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,tmax_fit,3020,-0.02749504260246608,0.23903748490964064,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,area_new,3020,163.98176765694524,150.8044691288029,118.46984947339332,0.4306458923755749,11.925938249692027,0.3733795394433857,7.027615381942147,1.0910843540205077,2.968923876883064,25.20635095178581,0.09162678561182444
After pmax cut,DUT3,pmax_fit,3320,196.51779721501362,92.54594110342148,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,tmax_fit,3320,0.22311609826021747,0.23730666795259134,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,area_new,3320,181.7500416307564,149.93885590082374,130.8080349935812,0.4597928066968933,14.19702758906736,0.4276776074726583,5.6551539472608425,1.8627205619816212,4.102667974676251,27.831496807144937,0.09782825674401985
After pmax cut,DUT4,pmax_fit,2812,246.7478385615993,101.17354735558156,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,tmax_fit,2812,0.2712600201243492,0.25034774039348895,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,area_new,2812,331.29693991496924,317.0023748377876,195.74314816904743,1.8678580506946725,51.1450987523238,1.886141606934568,2.118478586196901,100.01731071741783,4.13060177473451,41.64747833383988,0.39741660653078137
