DUT,pmax_cut_low,pmax_cut_high,before_entries,after_entries
DUT1,50.0,0.0,60000,4234
DUT2,50.0,0.0,60000,3003
DUT3,50.0,0.0,60000,3346
DUT4,55.0,0.0,60000,2802
