pair,entries,mean_ps,std_ps
21,1097,-71.57640650048309,55.26800428856564
31,1699,126.61704846449238,54.01907142911421
41,507,180.32574206276078,64.42716101836277
32,2369,196.2515631861485,52.824637430182406
42,560,249.47168871512986,53.88430868136867
43,779,52.42411594715959,63.188803023958705
