DUT,pmax_cut_low,pmax_cut_high,before_entries,after_entries
DUT1,80.0,0.0,60000,4255
DUT2,90.0,0.0,60000,3066
DUT3,90.0,0.0,60000,3380
DUT4,110.0,0.0,60000,2714
