stage,dut,variable,entries,mean,std,landau_mpv,landau_mpv_err,landau_sigma,landau_sigma_err,gauss_sigma,gauss_sigma_err,landau_chi2_ndf,collected_charge,collected_charge_err
Before pmax cut,DUT1,pmax_fit,60000,9.357668499557828,21.0194836057353,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,tmax_fit,60000,-0.07370138533043524,11.081059545461297,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,area_new,59922,6.165517133550793,21.401436583127044,1.5054586219498887,0.003539074896995867,0.46069803152508,0.0031188891186863235,0.1185112323385179,0.025898044360752093,17.668469092835583,0.320310345095721,0.0007529946589352909
Before pmax cut,DUT2,pmax_fit,60000,8.167280694003404,17.6054185120024,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,tmax_fit,60000,-0.010938013341784729,11.240188196622334,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,area_new,59912,5.700259754507678,18.41829496332887,1.7172485296807898,0.006000582046156552,0.6778710560120835,0.004639927740622094,0.046152125355117375,0.18069412821354164,15.678724420495508,0.3653720275916574,0.001276719584288628
Before pmax cut,DUT3,pmax_fit,60000,8.245100664462646,17.45789130616904,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,tmax_fit,60000,-0.027240750578963222,11.223334170555884,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,area_new,59915,5.76665166226346,18.322430798213432,1.9519278494652248,0.004420433508783623,0.5987135452797693,0.003714323224549883,0.18998831548691486,0.024295590871466294,6.353383253438699,0.41530379775855847,0.0009405177678263028
Before pmax cut,DUT4,pmax_fit,60000,8.347615874753055,20.040537836685743,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,tmax_fit,60000,-0.02370378516481548,11.295212635463265,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,area_new,59914,5.441073530587983,22.50939097614106,1.5632498122597935,0.00456549787688998,0.5697145288185085,0.003752034878295986,0.03969046824326122,0.13038778520333066,11.56602549450667,0.3326063430339986,0.000971382526997868
After pmax cut,DUT1,pmax_fit,4365,62.63311718244869,54.75543488798821,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,tmax_fit,4365,0.11662844562903246,0.23655619101431338,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,area_new,4365,56.686816212893355,59.257344096519105,37.50001684506195,0.1800130985098536,6.941641440177282,0.16773301442964778,0.3500106950800412,5.587344176098088,2.8001225565684194,7.9787269883110525,0.03830065925741565
After pmax cut,DUT2,pmax_fit,3075,62.18409695881169,54.31919227990004,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,tmax_fit,3075,0.049117893081336336,0.24958282473619017,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,area_new,3075,56.42380132256485,60.44874801056569,37.520385091312505,0.2112419995532885,6.843040826942247,0.1942464748598485,0.3365668414201351,6.162468400195203,2.2085530705066128,7.983060657726065,0.044945106287933724
After pmax cut,DUT3,pmax_fit,3200,61.83485082447529,51.43675661755378,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,tmax_fit,3200,0.2945217653923191,0.24597513046217104,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,area_new,3200,58.09888390034437,57.7075322149467,38.88390936141273,0.2612587477232084,6.625659139081401,0.20466947750317352,0.3040829012393953,11.583785030190326,2.6940134392335486,8.273172204555898,0.05558696760068264
After pmax cut,DUT4,pmax_fit,2752,74.12613855822141,64.74914144698776,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,tmax_fit,2752,0.3240473961284087,0.25230636847657556,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,area_new,2752,68.67198910824088,82.38565530627594,43.62718663435151,0.27436710975592987,7.7228247234482765,0.25978705565675125,0.42353997058868353,10.073122438494337,2.6250794075249426,9.282380134968406,0.05837598079913401
