pair,entries,mean_ps,rms_ps,fit_mu_ps,fit_sigma_ps,fit_sigma_err_ps,chi2_ndf
21,1054,-71.90904407753155,72.73276647499961,-70.024700908751,67.82791123847318,1.6388732729887991,0.8197804604486393
31,1573,128.54382935077342,75.2404958202048,130.55093589322144,71.76450619457358,1.4424378181976267,0.9968025667104774
41,451,173.10562125101794,74.17061679334412,171.98183067784674,64.49348436663273,2.6991200699127615,1.3030175363165029
32,2290,200.66718627814825,75.28201815786643,200.64398195889075,71.43486257429745,1.1253279127297302,1.4387197196544343
42,560,248.28042275553995,70.06533258168793,246.80004388449717,65.5436079538297,2.360160512922288,0.8761274700249744
43,712,48.1739338582618,77.20137139780422,48.055153525092635,68.16992256243964,2.11154069604595,0.9256758440935369
